inputaddr,lng,lat,x,y,b,z,hc,lc,rc,bn
"서울특별시 중구  을지로 234",127.00394024622116,37.56647591490284,956192,1952017,,"04561","1114060500","1114015100","111403101006","1114015100100720001012687"
"서울특별시 중구  퇴계로 375-1",127.01338049577008,37.56527134344809,957025,1951879,,"04566","1114061500","1114016200","111403101011","1114016200102500010023338"
"\"서울특별시 중구  동호로 5길 15, 약수지구대\"",127.0123790232462,37.55214356666088,956929,1950423,,"04596","1114063500","1114016200","111404103113","1114016200108440003007429"
"\"서울특별시 중구  다산로 248 (신당동, 신당파출소)\"",127.01638264953057,37.56504031558618,957290,1951852,,"04577","1114065000","1114016200","111403101014","1114016200101000001004680"
"서울특별시 중구  동호로 261",127.0048065802828,37.55876400996635,956264,1951161,,"04620","1114058000","1114014400","111403005001","1114014400101970028017066"
"서울특별시 중구  퇴계로 178",126.99157913169267,37.56088003973405,955097,1951402,,"04627","1114057000","1114013700","111403101011","1114013700100200005017812"
"서울특별시 중구 충무로56-1",126.99284526308762,37.56618541035684,955212,1951990,,"04549","1114060500","1114015500","111403101009","1114015500102910050012805"
"서울특별시 종로구  종로17길 4 종로2가파출소",126.98892051579286,37.57050396381982,954868,1952471,,"03140","1111061500","1111013800","111104100310","1111013800100390002017417"
"서울특별시 종로구  삼일대로 386",126.98808184961794,37.56895001376666,954793,1952299,,"03191","1111061500","1111013500","111102100001","1111013500100050010017439"
"서울특별시 종로구  세검정로 226 ",126.95846025737686,37.60002235647169,952197,1955761,,"03017","1111055000","1111018500","111103005005","1111018500100950001025701"
"서울특별시 종로구  평창문화로 46",126.96662475061744,37.60525126039551,952921,1956337,,"03011","1111056000","1111018300","111103100023","1111018300102730003023364"
"서울특별시 종로구  삼청로 66",126.98112184433042,37.58141227810147,954186,1953685,,"03053","1111054000","1111014200","111103100007","1111014200100010001026040"
"서울특별시 종로구  효자로 9",126.97400796848494,37.57677492137438,953555,1953174,,"03044","1111053000","1111010600","111103100017","1111010600100350053028196"
"서울특별시 종로구  자하문로 92-1",126.97058032816471,37.58423174373373,953257,1954003,,"03047","1111051500","1111010300","111103100012","1111010300100120001031332"
"서울특별시 종로구  자하문로17길 24",126.96942196215244,37.581477443400274,953153,1953698,,"03035","1111051500","1111011100","111104100269","1111011100100450016029082"
"서울특별시 종로구  송월길 167(교북동 10-38)",,,,,,,,,,
"서울특별시 중구  세종대로 141",126.97642971366713,37.568943979138425,953764,1952304,,"04519","1114055000","1114010300","111402005001","1114010300100680001018858"
"서울특별시 종로구  경희궁길 6-3",126.97223845840989,37.57075504912692,953395,1952507,,"03175","1111053000","1111012000","111104100010","1111012000100580016028898"
"서울특별시 종로구  사직로9길 1",126.96884881291929,37.576066798212096,953099,1953098,,"03027","1111053000","1111011500","111104100137","1111011500100010028027388"
"서울특별시 종로구  삼봉로 33 청진파출소",126.9790201263966,37.57258786429837,953995,1952707,,"03153","1111061500","1111012400","111103100006","1111012400101460002014119"
"서울특별시 중구  다동길 11",126.97999191518657,37.568004296329846,954078,1952198,,"04521","1114055000","1114010200","111404103026","1114010200100460000018920"
"서울특별시 중구  통일로 13",126.97156694656488,37.556808207517925,953327,1950960,,"04509","1114054000","1114012000","111403000008","1114012000101220017021973"
"서울특별시 중구  명동길 30 명동파출소",126.98396301613812,37.56358709346294,954426,1951706,,"04536","1114055000","1114012700","111404103165","1114012700100500014019589"
