"동별(1)",동별(2),2023 2/4,2023 2/4,2023 2/4,2023 2/4
"동별(1)",동별(2),세대 (세대),계 (명),한국인 (명),등록외국인 (명)
"합계",소계,4469158,9659322,9414093,245229
"합계",종로구,72507,151349,140397,10952
"합계",중구,64375,132054,121441,10613
"합계",용산구,109679,232069,217288,14781
"합계",성동구,133484,286564,279374,7190
"합계",광진구,169857,350820,336169,14651
"합계",동대문구,171703,355667,338115,17552
"합계",중랑구,187981,389316,384272,5044
"합계",성북구,197831,441065,429142,11923
"합계",강북구,144447,295773,291384,4389
"합계",도봉구,138188,311386,308986,2400
"합계",노원구,217858,504641,500104,4537
"합계",은평구,213827,467295,463298,3997
"합계",서대문구,147226,321726,308122,13604
"합계",마포구,181097,376285,365111,11174
"합계",양천구,181210,441517,438353,3164
"합계",강서구,274521,572382,566839,5543
"합계",구로구,184546,417774,394833,22941
"합계",금천구,120578,242567,229235,13332
"합계",영등포구,190482,398842,376139,22703
"합계",동작구,187058,390843,380622,10221
"합계",관악구,286647,502430,487192,15238
"합계",서초구,168590,408753,404484,4269
"합계",강남구,236935,542327,537139,5188
"합계",송파구,285798,662872,657101,5771
"합계",강동구,202733,463005,458953,4052
