,자치구,발생건수전체,어린이 대상 범죄 건수,전체시간 평균 어린이 생활인구수,등하교시간 평균 어린이 생활인구수,어린이 대상 범죄 비율,어린이 대상 범죄율,CCTV수량,비상벨 수,112신고출동 건수,경찰관 수,경찰관 수 대비 112신고출동 건수,어린이시설 수,사고건수,사상자수,중상자 비율
0,강남구,30557.0,117.0,70051.08355352747,70358.03976115058,0.38289099060771675,16.62922963703767,6822,3694.0,179239,1532,116.9967362924282,100,40,44,0.22727272727272727
1,강동구,10433.0,95.0,57578.23844376184,57333.49198288352,0.9105722227547205,16.569721591066095,2541,883.0,90264,766,117.83812010443864,82,35,38,0.23684210526315788
2,강북구,10074.0,95.0,29907.328311860794,29638.802500639205,0.943021639864999,32.05257702228394,2763,22.0,77238,671,115.10879284649776,40,23,27,0.14814814814814814
3,강서구,14804.0,128.0,61406.56155069839,60780.808869602275,0.8646311807619562,21.059278805355852,2437,752.0,120733,941,128.30286928799148,68,50,52,0.36538461538461536
4,관악구,15025.0,193.0,37604.361804498105,37341.003977272725,1.2845257903494176,51.685809015062304,4641,1776.0,120676,918,131.4553376906318,65,22,24,0.25
5,광진구,10593.0,75.0,37740.862025260416,38836.31364779829,0.7080147267063155,19.311822610190475,3146,651.0,88402,724,122.10220994475138,80,23,23,0.2608695652173913
6,구로구,12355.0,127.0,42511.03790609612,42154.38222109375,1.027923917442331,30.1273540990123,4321,727.0,90771,752,120.7061170212766,59,46,48,0.3125
7,금천구,9329.0,65.0,18212.045698212594,18278.39539225852,0.6967520634580341,35.56110840425826,2412,570.0,62998,575,109.56173913043479,45,18,20,0.35
8,노원구,10945.0,128.0,65305.848251018,65798.82244261364,1.1694837825491091,19.453235673272882,2009,61.0,91796,809,113.46847960444994,100,19,22,0.22727272727272727
9,도봉구,6358.0,53.0,30778.404975071026,30685.844676065342,0.8335954702736711,17.271807427657183,1402,0.0,55279,561,98.53654188948306,65,22,22,0.18181818181818182
10,동대문구,10690.0,75.0,31889.93923081203,31783.570241122157,0.7015902712815716,23.59709731506615,2628,668.0,89334,826,108.15254237288136,62,17,18,0.6111111111111112
11,동작구,9185.0,75.0,39635.45269037642,39455.07893884944,0.8165487207403375,19.008959560375196,2025,522.0,72661,674,107.80563798219585,56,31,35,0.3142857142857143
12,마포구,13475.0,84.0,40879.347966205016,41329.34997017046,0.6233766233766234,20.32453935535574,1861,781.0,113635,883,128.6919592298981,49,7,7,0.42857142857142855
13,서대문구,8451.0,70.0,34419.77443159328,35099.59612528409,0.8283043426813395,19.943249418068174,2863,388.0,64596,674,95.83976261127596,35,12,16,0.3125
14,서초구,20260.0,99.0,57392.926858297826,58452.02388792614,0.4886475814412636,16.936967005594045,3701,18.0,113823,1115,102.08340807174888,56,9,9,0.2222222222222222
15,성동구,8180.0,51.0,33263.43937723722,33296.27652634943,0.6234718826405867,15.317028004509904,1256,746.0,59407,642,92.53426791277259,44,4,5,0.0
16,성북구,9204.0,99.0,50511.21733572443,49562.6206149858,1.0756192959582789,19.974730708663593,3625,1039.0,78142,961,81.31321540062434,89,27,29,0.3448275862068966
17,송파구,18578.0,177.0,91571.71754573865,92916.40107428977,0.9527397997631607,19.049381804885297,2723,0.0,132081,1063,124.25305738476011,83,43,47,0.2765957446808511
18,양천구,9527.0,132.0,56673.86890062737,56341.01237450284,1.3855358454917601,23.428758986896852,3130,676.0,74456,773,96.32082794307891,96,32,34,0.20588235294117646
19,영등포구,16914.0,113.0,37854.05689152462,38350.588424360794,0.6680856095542155,29.464997707367882,3772,980.0,118897,990,120.0979797979798,65,28,28,0.25
20,용산구,9757.0,43.0,22284.236902130684,23120.235147798296,0.4407092343958184,18.598426756959185,1498,503.0,79837,712,112.13061797752809,33,6,7,0.0
21,은평구,10214.0,104.0,51646.197349076705,50596.318279474435,1.0182102995887998,20.554855281276463,3535,453.0,93126,925,100.67675675675676,75,37,39,0.3333333333333333
22,종로구,11077.0,31.0,17840.162427781725,19778.687873224433,0.2798591676446691,15.673436073566089,1648,106.0,81083,1155,70.2017316017316,38,3,3,0.6666666666666666
23,중구,11985.0,36.0,13222.275696851326,15129.831694105114,0.3003754693366708,23.79405186247136,2314,518.0,73784,1040,70.94615384615385,33,9,10,0.5
24,중랑구,11019.0,102.0,37782.218683357,37096.8638084517,0.9256738361012796,27.495585752659114,3748,856.0,90765,764,118.80235602094241,41,29,29,0.20689655172413793
