,구분,총계,방범,"어린이
보호구역",공원·놀이터,"쓰레기
무단투기","시설안전
·화재예방",교통단속,"교통정보
수집·분석","기타
다른법령"
,총 계,"92,991","62,899","9,101","7,632","1,487","3,979","7,350",127,416
1,종로구,"1,966","1,586",45,177,0,34,124,0,0
2,중구,"2,584",1680,76,208,62,62,329,0,167
3,용산구,"2,970","2,245",235,167,0,0,323,0,0
4,성동구,"4,175","2,720",490,222,211,112,420,0,0
5,광진구,"3,592","2,445",625,223,66,141,92,0,0
6,동대문구,"2,759","2,063",282,219,28,1,152,0,14
7,중랑구,"4,193","3,514",141,190,11,59,278,0,0
8,성북구,"4,957","3,051",444,256,378,575,235,18,0
9,강북구,"3,321","2,644",351,189,0,35,102,0,0
10,도봉구,"2,385",1489,151,319,161,162,103,0,0
11,노원구,"2,626","1,405",260,500,116,192,153,0,0
12,은평구,"4,653","2,880",750,473,0,266,172,0,112
13,서대문구,"3,538","2,243",132,631,0,160,372,0,0
14,마포구,"2,638","2,063",195,202,40,0,138,0,0
15,양천구,"3,890","2,428",831,350,0,0,172,109,0
16,강서구,"3,353","2,550",288,348,23,0,144,0,0
17,구로구,"4,831","3,129",546,412,35,275,434,0,0
18,금천구,"2,885","2,164",268,252,46,0,155,0,0
19,영등포,"4,660","3,343",286,191,144,124,572,0,0
20,동작구,"2,690","1,812",400,171,19,99,66,0,123
21,관악구,"5,642","3,534",258,306,147,729,668,0,0
22,서초구,"4,995","2,682",204,294,0,687,"1,128",0,0
23,강남구,"7,243","4,851",1157,487,0,126,622,0,0
24,송파구,"3,253","1,711",449,661,0,140,292,0,0
25,강동구,"3,192","2,667",237,184,0,0,104,0,0
